cases \ values,Gap,Time_execution
case_1,0.11279564597454597,3740.5904660224915
case_2,0.10487035202257781,3600.2843737602234
case_3,3.389224554724762e-05,572.4188048839569
case_4,0.379834365036572,3600.2908709049225
case_5,0.03668799627719211,753.6463289260864
case_5,0.03668799627719211,753.6463289260864
case_7,-,3600
case_8,-,3600
case_9,0.03852968284304486,1245.0475838184357
case_10,-,3600
case_10,-,3600
case_12,0.022221511317573345,394.7499177455902
case_13,0.17479249525067334,3600.3269321918488
case_14,0.047672594355888706,1657.493575334549
case_15,5.1499891303799676e-05,590.1717970371246
case_16,0.0492421582458317,3028.5108268260956
case_17,0.010816839058704848,412.4907557964325
case_18,0.03541699886685163,866.0658729076385
case_19,0.2974147953600343,3600.362300157547
case_20,0.007133940778569517,809.264083147049
case_21,-,3600
case_22,1.432393180657059e-05,349.3346140384674
case_23,-,3600
case_24,0.048220793819573546,602.3551959991455
case_25,0.028771335458745988,299.98400688171387
case_26,-,3600
case_27,0.00017101551874924425,406.1842713356018
case_28,0.032504454469073074,657.4415471553802
case_29,0.039695442202119076,681.4775500297546
case_30,0.04725485606017175,1665.6887502670288
case_31,0.0,315.15058302879333
case_32,0.22455807219062654,3600.3473510742188
case_33,0.37519956938042137,3600.2266318798065
case_34,0.004546648496058314,437.84280490875244
case_35,0.1273073220275345,3600.4474029541016
case_36,0.049978917712832145,1282.929165840149
case_37,0.0,544.1623408794403
case_38,-,3600
case_39,0.05858558073601097,3600.2901377677917
case_40,-,3600
case_41,0.0333041991491847,890.1384379863739
case_41,0.0333041991491847,890.1384379863739
case_43,0.24937606458366124,3600.270610809326
case_44,0.0,566.7728068828583
case_44,0.0,566.7728068828583
case_46,0.15693211202465515,3600.21329498291
case_46,0.15693211202465515,3600.21329498291
case_46,0.15693211202465515,3600.21329498291
case_49,0.0,328.8306438922882
case_50,0.06246113044259418,3600.0879950523376
